>Refrigerated
ice cream,250
frozen meat,550
>Refrigerated
frozen meat,25
frozen vegetable mix,325
ice,325
fish,125
>Refrigerated
fish,350
yoghurt,325
milk,125
>Refrigerated
milk,300
beef,500
>Refrigerated
beef,50
cheese,450
chicken,300
>Refrigerated
chicken,125
celery,350
asparagus,275
grapes,50
>Refrigerated
grapes,175
lettuce,350
mushrooms,275
>Refrigerated
mushrooms,50
tomatoes,400
beans,350
>Ordinary
beans,175
biscuits,575
bread,200
chips,50
>Ordinary
chips,150
chocolate,375
nuts,250
pasta,225
>Ordinary
pasta,25
rice,300
